"","region","supplysector","year","base.service"
"1","Africa_Eastern","FoodDemand_NonStaples",1975,22.9466784
"2","Africa_Eastern","FoodDemand_NonStaples",1990,34.2102831
"3","Africa_Eastern","FoodDemand_NonStaples",2005,57.9168141
"4","Africa_Eastern","FoodDemand_NonStaples",2010,75.6817302
"5","Africa_Eastern","FoodDemand_NonStaples",2015,81.7831934
"6","Africa_Eastern","FoodDemand_Staples",1975,44.1407184
"7","Africa_Eastern","FoodDemand_Staples",1990,67.2717432
"8","Africa_Eastern","FoodDemand_Staples",2005,105.8426215
"9","Africa_Eastern","FoodDemand_Staples",2010,123.8952399
"10","Africa_Eastern","FoodDemand_Staples",2015,149.0123337
"11","Africa_Northern","FoodDemand_NonStaples",1975,16.2859623
"12","Africa_Northern","FoodDemand_NonStaples",1990,30.7199301
"13","Africa_Northern","FoodDemand_NonStaples",2005,51.3505489
"14","Africa_Northern","FoodDemand_NonStaples",2010,66.7648172
"15","Africa_Northern","FoodDemand_NonStaples",2015,80.742301
"16","Africa_Northern","FoodDemand_Staples",1975,54.5704606
"17","Africa_Northern","FoodDemand_Staples",1990,98.0733095
"18","Africa_Northern","FoodDemand_Staples",2005,128.9111414
"19","Africa_Northern","FoodDemand_Staples",2010,132.9766441
"20","Africa_Northern","FoodDemand_Staples",2015,138.8458403
"21","Africa_Southern","FoodDemand_NonStaples",1975,8.6486631
"22","Africa_Southern","FoodDemand_NonStaples",1990,13.3899308
"23","Africa_Southern","FoodDemand_NonStaples",2005,23.4410726
"24","Africa_Southern","FoodDemand_NonStaples",2010,34.8297601
"25","Africa_Southern","FoodDemand_NonStaples",2015,47.000767
"26","Africa_Southern","FoodDemand_Staples",1975,30.3187116
"27","Africa_Southern","FoodDemand_Staples",1990,45.0090432
"28","Africa_Southern","FoodDemand_Staples",2005,66.4540066
"29","Africa_Southern","FoodDemand_Staples",2010,75.9177603
"30","Africa_Southern","FoodDemand_Staples",2015,83.3973323
"31","Africa_Western","FoodDemand_NonStaples",1975,32.8105791
"32","Africa_Western","FoodDemand_NonStaples",1990,46.926514
"33","Africa_Western","FoodDemand_NonStaples",2005,81.3673352
"34","Africa_Western","FoodDemand_NonStaples",2010,113.3578776
"35","Africa_Western","FoodDemand_NonStaples",2015,140.0891802
"36","Africa_Western","FoodDemand_Staples",1975,76.607392
"37","Africa_Western","FoodDemand_Staples",1990,135.6998454
"38","Africa_Western","FoodDemand_Staples",2005,211.4679333
"39","Africa_Western","FoodDemand_Staples",2010,253.5248142
"40","Africa_Western","FoodDemand_Staples",2015,294.1858027
"41","Argentina","FoodDemand_NonStaples",1975,15.9533725
"42","Argentina","FoodDemand_NonStaples",1990,18.8781078
"43","Argentina","FoodDemand_NonStaples",2005,22.4955224
"44","Argentina","FoodDemand_NonStaples",2010,25.9406572
"45","Argentina","FoodDemand_NonStaples",2015,29.4017712
"46","Argentina","FoodDemand_Staples",1975,12.9603213
